Num_page;URL;Status_HTTP;Nb Retry;Nb_Products
1;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=1;200;1;12
2;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=2;200;1;12
3;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=3;200;1;8
4;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=4;200;1;8
5;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=5;200;1;8
6;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=6;200;1;8
7;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=7;200;2;8
8;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=8;200;1;8
9;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=9;200;2;8
10;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=10;200;1;8
11;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=11;200;1;8
12;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=12;200;1;8
13;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=13;200;4;8
14;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=14;200;1;8
15;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=15;200;1;8
16;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=16;200;1;8
17;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=17;200;3;8
18;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=18;200;1;8
19;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=19;200;3;8
20;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=20;200;2;8
21;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=21;200;2;8
22;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=22;200;1;8
23;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=23;200;1;4
24;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=24;200;4;4
25;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=25;200;1;4
26;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=26;200;2;4
27;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=27;200;3;4
28;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=28;200;2;4
29;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=29;200;2;4
30;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=30;200;3;4
31;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=31;200;2;4
32;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=32;200;3;4
33;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=33;200;3;4
34;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=34;200;3;4
35;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=35;200;4;4
36;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=36;200;2;4
37;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=37;200;1;4
38;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=38;200;1;4
39;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=39;200;2;4
40;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=40;200;3;4
41;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=41;200;1;4
42;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=42;200;1;4
43;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=43;200;2;4
44;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=44;200;2;4
45;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=45;200;1;4
46;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=46;200;1;4
47;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=47;200;1;4
48;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=48;200;3;4
49;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=49;200;4;4
50;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=50;200;1;4
51;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=51;200;3;4
52;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=52;200;3;4
53;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=53;200;5;4
54;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=54;200;1;4
55;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=55;200;4;4
56;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=56;200;2;4
57;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=57;200;1;4
58;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=58;200;1;4
59;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=59;200;1;4
60;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=60;200;3;4
61;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=61;200;2;4
62;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=62;200;1;4
63;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=63;200;4;4
64;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=64;200;1;4
65;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=65;200;3;4
66;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=66;200;1;4
67;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=67;200;2;4
68;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=68;200;2;4
69;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=69;200;2;4
70;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=70;200;4;4
71;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=71;200;2;4
72;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=72;200;3;4
73;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=73;200;3;4
74;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=74;200;1;4
75;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=75;200;2;4
76;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=76;200;2;4
77;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=77;200;1;4
78;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=78;200;1;4
79;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=79;200;2;4
80;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=80;200;4;4
81;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=81;200;4;4
82;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=82;200;2;4
83;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=83;200;2;4
84;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=84;200;7;4
85;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=85;200;4;4
86;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=86;200;1;4
87;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=87;200;2;4
88;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=88;200;4;4
89;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=89;200;1;4
90;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=90;200;3;4
91;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=91;200;1;4
92;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=92;200;1;4
93;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=93;200;2;4
94;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=94;200;3;4
95;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=95;200;2;4
96;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=96;200;1;4
97;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=97;200;2;4
98;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=98;200;2;4
99;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=99;200;2;4
100;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=100;200;1;4
101;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=101;200;3;4
102;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=102;200;1;4
103;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=103;200;1;4
104;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=104;200;1;4
105;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=105;200;1;4
106;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=106;200;1;4
107;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=107;200;6;4
108;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=108;200;3;4
109;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=109;200;2;4
110;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=110;200;1;4
111;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=111;200;1;4
112;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=112;200;1;4
113;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=113;200;2;4
114;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=114;200;1;4
115;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=115;200;2;4
116;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=116;200;3;4
117;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=117;200;1;4
118;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=118;200;2;4
119;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=119;200;1;4
120;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=120;200;3;4
121;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=121;200;1;4
122;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=122;200;4;4
123;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=123;200;2;4
124;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=124;200;1;4
125;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=125;200;2;4
126;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=126;200;1;4
127;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=127;200;1;4
128;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=128;200;6;4
129;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=129;200;1;4
130;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=130;200;1;4
131;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=131;200;1;4
132;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=132;200;1;4
133;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=133;200;1;4
134;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=134;200;1;4
135;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=135;200;2;4
136;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=136;200;1;4
137;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=137;200;2;4
138;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=138;200;3;4
139;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=139;200;1;4
140;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=140;200;2;4
141;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=141;200;2;4
