Num_page;URL;Status_HTTP;Nb Retry;Nb_Products
1;https://www.etsy.com/fr/search?q=essuie%20tout%20lavable&page=1;200;1;12
2;https://www.etsy.com/fr/search?q=essuie%20tout%20lavable&page=2;200;4;12
3;https://www.etsy.com/fr/search?q=essuie%20tout%20lavable&page=3;200;1;12
4;https://www.etsy.com/fr/search?q=essuie%20tout%20lavable&page=4;200;2;12
5;https://www.etsy.com/fr/search?q=essuie%20tout%20lavable&page=5;200;2;12
6;https://www.etsy.com/fr/search?q=essuie%20tout%20lavable&page=6;200;1;12
7;https://www.etsy.com/fr/search?q=essuie%20tout%20lavable&page=7;200;3;12
8;https://www.etsy.com/fr/search?q=essuie%20tout%20lavable&page=8;200;4;12
9;https://www.etsy.com/fr/search?q=essuie%20tout%20lavable&page=9;200;3;12
10;https://www.etsy.com/fr/search?q=essuie%20tout%20lavable&page=10;200;5;12
11;https://www.etsy.com/fr/search?q=essuie%20tout%20lavable&page=11;200;7;12
12;https://www.etsy.com/fr/search?q=essuie%20tout%20lavable&page=12;200;2;12
13;https://www.etsy.com/fr/search?q=essuie%20tout%20lavable&page=13;200;5;12
14;https://www.etsy.com/fr/search?q=essuie%20tout%20lavable&page=14;200;1;12
15;https://www.etsy.com/fr/search?q=essuie%20tout%20lavable&page=15;200;1;12
16;https://www.etsy.com/fr/search?q=essuie%20tout%20lavable&page=16;200;1;12
17;https://www.etsy.com/fr/search?q=essuie%20tout%20lavable&page=17;200;1;12
18;https://www.etsy.com/fr/search?q=essuie%20tout%20lavable&page=18;200;2;12
19;https://www.etsy.com/fr/search?q=essuie%20tout%20lavable&page=19;200;5;12
20;https://www.etsy.com/fr/search?q=essuie%20tout%20lavable&page=20;200;1;12
