Num_page;URL;Status_HTTP;Nb Retry;Nb_Products
1;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=1;200;2;12
2;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=2;200;2;12
3;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=3;200;1;12
4;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=4;200;4;12
5;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=5;200;1;12
6;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=6;200;1;12
7;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=7;200;1;12
8;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=8;200;1;12
9;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=9;200;2;12
10;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=10;200;2;12
11;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=11;200;1;12
12;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=12;200;2;8
13;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=13;200;1;8
14;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=14;200;1;8
15;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=15;200;5;8
16;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=16;200;1;8
17;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=17;200;1;8
18;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=18;200;2;8
19;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=19;200;2;8
20;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=20;200;2;8
21;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=21;200;1;8
22;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=22;200;1;8
23;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=23;200;1;8
24;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=24;200;2;8
25;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=25;200;3;8
26;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=26;200;2;8
27;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=27;200;3;8
28;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=28;200;3;8
29;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=29;200;2;8
30;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=30;200;2;8
31;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=31;200;1;8
32;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=32;200;1;8
33;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=33;200;1;8
34;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=34;200;1;8
35;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=35;200;1;8
36;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=36;200;1;8
37;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=37;200;3;8
38;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=38;200;1;8
39;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=39;200;1;8
40;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=40;200;1;8
41;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=41;200;1;8
42;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=42;200;1;8
